Filename,Category,Year,Brightness,Saturation,Edge_Score,Red,Orange,Yellow,Green,Blue,Purple,Black,White,Grey
Bergkirchweih_Erlangen_1900_001,Festivals / Events,1900,0.709484535,0.2909398786,0.1123416487,0.03711810787,0.3805674689,0.0822633266,0.01805413163,0.02344729523,0.0004834946997,0.01277195203,0.3277434753,0.1175507477
Erlangen_Postkarte_016,Buildings / Streets / Architecture,1899,0.672896597,0.1773168483,0.1091690326,0.00469170579,0.1792190923,0.1813302034,0.01119405321,0.008463223787,0.0001564945227,0.02541001565,0.2338920188,0.3556431925
Erlangen_-_Frauenklinik,Buildings / Streets / Architecture,1914,0.5909827747,0.06165640679,0.08463095819,0.002344048986,0.004326500979,0.001812205939,0.002093604376,0.02953276603,0.00660301434,0.04552886022,0.2075369758,0.7002220234
Erlangen_Postkarte_1897_001,Buildings / Streets / Architecture,1897,0.6419805953,0.207851057,0.07439553764,0.008114205527,0.665697323,0.05351683938,0.004736614853,0.0006832901554,0.0003734887737,0.01339054404,0.05394214162,0.1995455527
Bergkirchweih_Erlangen_1905_001,Festivals / Events,1905,0.4383644439,0.3920138751,0.1189618215,0.007801963295,0.703418694,0.2125906957,0.005038412292,0.00002454118651,0.0005655142979,0.02023260777,0.01634016219,0.0339874093
Ldmk_Schleuse_89,Nature / Parks / Landscapes,1900,0.5590370967,0,0.0487315569,0,0,0,0,0,0,0.03651752922,0.1180712298,0.845411241
Erlangen_-_Gemäldegalerie,Buildings / Streets / Architecture,1919,0.6785624992,0,0.1026196646,0,0,0,0,0,0,0.01926376728,0.3028266889,0.6779095438
Erlangen_-_Bahnhof,Buildings / Streets / Architecture,1917,0.6650402848,0.2657982514,0.08319137154,0.02514489807,0.4006229089,0.07284632699,0.03480078342,0.1797785803,0.002454165438,0.01821955413,0.1340543026,0.1320784801
Bergkirchweih_Erlangen_1900_002,Festivals / Events,1900,0.6712485541,0.3995089527,0.09021921023,0.03235937092,0.7993131689,0.03382520882,0.00006117854346,0,0.000004894283477,0.001408737927,0.06992462803,0.06310281258
Erlangen_-_Burgberg,Nature / Parks / Landscapes,1919,0.6102366072,0.2239227004,0.1099771899,0.01898641262,0.2286024375,0.07399785559,0.02331193293,0.2170782028,0.003204817319,0.02056457215,0.1527000422,0.2615537269
Erlangen_-_Eichenwald,Nature / Parks / Landscapes,1916,0.5683363287,0.08760620092,0.1408928676,0.0001655313424,0.01072245823,0.02598577225,0.02246194103,0.005237411672,0.00006621253695,0.02729678048,0.2377374382,0.6703264543
Erlangen_Postkarte_027,Buildings / Streets / Architecture,1910,0.6029996882,0,0.09923347953,0,0,0,0,0,0,0.03013837257,0.007934737712,0.9619268897
Erlangen_-_Schlossplatz,Buildings / Streets / Architecture,1917,0.6680981866,0.2449292299,0.1147669144,0.00136417886,0.114679676,0.2051071363,0.04135274675,0.2149937944,0.00007145068712,0.0310201835,0.1722451129,0.2191657206
"Quelle_an_der_Solitude,_Erlangen_1905_001",Nature / Parks / Landscapes,1905,0.5469541946,0.3010030732,0.131281516,0.01430477143,0.2305040837,0.2937402552,0.07514774421,0.009872238369,0.000730454561,0.05723127594,0.1072382004,0.2112309761
